Company,Location,Salary
راهکار حامی پرداز | Rahkar Hami Pardaz,تهران، تهران,18000000
فناوری و راه حل‏‏ های هوشمند سپهر | Hooshmand Sepehr,تهران، تهران,15000000
آرتان فولاد ایرانیان | Artan Steel,تهران، تهران,14000000
ندا رسانان پیشرو | NRP,تهران، تهران,24000000
نوین دو | Novin Dev,فارس، شیراز,15000000
تارت | Tart,تهران، تهران,13000000
وبنا | Webina,تهران، تهران,35000000
آریا | Ariya Company,خراسان رضوی، مشهد,9000000
آی بار | Ibaar,تهران، تهران,15000000
نادری تراول | Naderi Travel,تهران، تهران,30000000
سامبرگ اطلس جم | Samberg Atlas Jam,تهران، تهران,15000000
فناوری رایان | Fanavary Rayan,تهران، تهران,8000000
تکران | Techran,تهران، تهران,40000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,12000000
اندیش سازان راهکارهای عصر نوین | Hsoft,تهران، تهران,12000000
سیستم های منابع انسانی سیمرغ | Simorgh Human Resources Systems,قم، قم,26000000
کارنیل وب | Karnilweb,تهران، تهران,15000000
بتو | Betou,فارس، شیراز,8000000
چادکو | Chadco,فارس، شیراز,16000000
هولدینگ آماتیس | Amathis,تهران، تهران,20000000
نساجی پامچال | Pamchal Cerpet,اصفهان، آران و بیدگل,7000000
آتی نگر | Atinegar,اصفهان، اصفهان,7000000
پیام رهیابان  | Payam Rahyaban,تهران، تهران,16000000
نرم افزاری آدا | Ada Company,تهران، تهران,30000000
بهپرداز جهان | Behpardaz Jahan,تهران، تهران,7000000
فراسوی اطلاعات آینده | FEA,تهران، تهران,8000000
ابتکار سامانه آرمان | Ebtekar Samaneh Arman,تهران، تهران,24000000
اجایلبل | Agileabl,تهران، تهران,20000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
هلدینگ مرکز سنگ ایرانیان | Stone Center 7,تهران، تهران,15000000
شرکت بالون | Baloon,تهران، تهران,20000000
گیکس | Geeks Ltd,تهران، تهران,15000000
ایموکو | IMMOCO,تهران، تهران,14000000
بهور | Behvar,تهران، تهران,26000000
دانش بنیان پیام گستر فاوا | PayamGostar FAVA,تهران، تهران,20000000
مرسا | Morsainternational,تهران، تهران,24000000
وبیشو | Webishow,تهران، تهران,10000000
سیستم های منابع انسانی سیمرغ | Simorgh Human Resources Systems,قم، قم,26000000
سیستم های منابع انسانی سیمرغ | Simorgh Human Resources Systems,قم، قم,26000000
هلدینگ توان | ta1group,تهران، تهران,24000000
ایران تخصص | Ikrantakihasos,تهران، تهران,10000000
چاپ چاپ چی | Chap Chap Chi,تهران، تهران,15000000
ارزینجا | Arzinja,تهران، تهران,40000000
مدیریت فناوری بورس تهران | Tehran Securities Exchange Technology Management Co,تهران، تهران,10000000
بوستریپ | Boostrip,تهران، تهران,20000000
خدمات مسافرت هوایی، جهانگردی و زیارتی شاهدان کوثر | SHAHEDAN KOWSAR TOUR & TRAVEL AGENCY,تهران، تهران,10000000
چاوش همراه سرزمین ایرانیان | Chavosh Hamrah Sarzamin Iraniyan,تهران، تهران,15000000
گروه وبجار | Webjar,تهران، تهران,20000000
داده گستر عصر نوین(های وب) | HiWeb,تهران، تهران,20000000
همکاران سیستم اصفهان | Isfahan System Group,اصفهان، اصفهان,8000000
فیدارمبین آژند | Fidar Mobin Azhand,اصفهان، اصفهان,15000000
بیتشال | Bitcial,تهران، تهران,20000000
بیتشال | Bitcial,تهران، تهران,30000000
باسیلیکا | Basilica,تهران، تهران,20000000
خدمات پشتیبانی نیرو | Poshtibani Niroo,تهران، تهران,13000000
آترین فناوران | Atrincom,اصفهان، اصفهان,15000000
داده پژوه آریا | Dade Pajoohe Aria,اصفهان، اصفهان,30000000
داده پژوه آریا | Dade Pajoohe Aria,اصفهان، اصفهان,15000000
صرافی بیت | Bit,تهران، تهران,15000000
شمیم خوشگوار | Khoshgovar,تهران، تهران,16000000
خدمات ارزی تراپی | Trapay,فارس، شیراز,15000000
فریوارد | Freeward International Group,تهران، تهران,30000000
چارسوق | Charsoq,تهران، تهران,10000000
چارسوق | Charsoq,تهران، تهران,15000000
ایپرو | IPRO,فارس، شیراز,18000000
نت پارسه | PCMMS,تهران، تهران,15000000
بهین گستر گیتی | Behin Gostar,تهران، تهران,12000000
املاک بزرگ نگین (رسالت) | Negin Realestate,تهران، تهران,12000000
تیلورچی | Tailorchi,تهران، تهران,26000000
آراد الگو تریدینگ | Arad AlgoTrading,تهران، تهران,40000000
ادیسه  | Odyssey,تهران، تهران,30000000
داده کاوان هوشمند توسن | Tosan Intelligent Data Miners,تهران، تهران,14000000
رایان نظم | Rayan Nazm,تهران، تهران,20000000
مدیریت هوشمند راستاد | Smart Management Of Rastad,تهران، تهران,10000000
آهنگر  | Ahangar,تهران، تهران,26000000
فرهیختگان پیام همراه | Farhikhtegan Payam Hamrah,تهران، تهران,26000000
موسسه مهرآفرینان امید زندگی (همکده) | Hamkadeh,تهران، تهران,20000000
مجتمع بین المللی گسترش فناوری اطلاعات تهران تندیس | Intel,تهران، تهران,15000000
هانسو | Hanso,تهران، تهران,11000000
مجتمع بین المللی گسترش فناوری اطلاعات تهران تندیس | Intel,تهران، تهران,15000000
اُتیچر  | Oteacher,تهران، تهران,20000000
اک تک | Actec,اصفهان، اصفهان,9000000
صدگان سامانه هوشمند | Sadgan Samaneh Hooshmand,خراسان رضوی، مشهد,30000000
نیلیمون | Nilimoon,آذربایجان شرقی، تبریز,30000000
گروه مهندسی آی کن | ICAN,خوزستان، اهواز,12000000
تجارت الکترونیک اول | Tejarat Electronic Aval,تهران، تهران,10000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
گروه مهندسی آی کن | ICAN,اصفهان، اصفهان,11000000
گروه مهندسی آی کن | ICAN,تهران، تهران,16000000
چارت باکس | Chartbox,تهران، تهران,20000000
معماران عصر دانش | Architects of Knowledge Age Co.,تهران، تهران,8000000
هواپیمایی آتا | Ata Airlines,تهران، تهران,15000000
برین گیم تیپس | Brain Game Tips,خراسان رضوی، مشهد,20000000
سامان پارک | Samanpark,تهران، تهران,16000000
مجموعه شرکت های تریتا  | Treata,البرز، کرج,15000000
الو دارو | Alo darou,تهران، تهران,10000000
اجایلبل | Agileabl,تهران، تهران,18000000
گروه صنعتی انتخاب الکترونیک | Entekhab Electronic Industrial Group,اصفهان، اصفهان,15000000
گروه صنعتی لابل | Labell,گلستان، گرگان,10000000
ارتباطات پیوسته ایرانیان | Ertebatat Peyvaste Iranian,کرمان، کرمان,12000000
حدید | Hadid Advanced Technologies,تهران، تهران,10000000
فراز | Faraz,تهران، تهران,35000000
عصر اندیشمندان | Asr Andishmandan,تهران، تهران,10000000
آيريا | Ayria,تهران، تهران,22000000
موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,18000000
خبره پرداز پارس | Khebre Pardaaz Pars,تهران، تهران,30000000
نیرا | Nira,تهران، تهران,12000000
مجموعه سرویس های چاپار  | Chaapaar,تهران، تهران,20000000
ابر درسا | Dorsa Cloud,تهران، تهران,20000000
صنایع الکترواپتیک صاایران | SAPA,اصفهان، اصفهان,16000000
آئین تجارت کسری | Bavili,تهران، تهران,13000000
هفت سین | Haftcin,تهران، تهران,30000000
زودکس | Zoodex,کرمان، کرمان,10000000
نرم افزاری گردشگری سان | SAN Tourism Software Group,تهران، تهران,50000000
تفتاکو | Taftaco,اردبیل، اردبیل,10000000
نرم افزاری آموت | Amoot Software,خراسان رضوی، مشهد,10000000
پویان افزار فناور | Poyan Afzar Fanavar,تهران، تهران,20000000
دابز | Dubz,تهران، تهران,10000000
سلامت الکترونیکی تامین | SATA,تهران، تهران,11000000
یوتا | UTTA,آذربایجان شرقی، تبریز,15000000
تجارت الکترونیک امن موج  | Amn Moj,تهران، تهران,24000000
یوتا | UTTA,آذربایجان شرقی، تبریز,12000000
پیرا طب | Pira Teb,تهران، تهران,5500000
اکس ماژول | Exmodule,خراسان رضوی، مشهد,28000000
فناوری اطلاعات آرامین | Aramin Information Technology,تهران، تهران,16000000
فناوری اطلاعات آرامین | Aramin Information Technology,تهران، تهران,20000000
پیشگامان فناآوری هوشمند آندیا | Andia's smart technology pioneers,زنجان، زنجان,10000000
پیشگامان فناآوری هوشمند آندیا | Andia's smart technology pioneers,زنجان، زنجان,10000000
لرنباما | Learnbama,تهران، تهران,50000000
داده کاوان تصمیم یار | Dade Kavan Tasmim Yar,آذربایجان غربی، ارومیه,12000000
ماهان وب گستر آویژه | Mahan Web Gostar Avizhe,تهران، تهران,18000000
الكترونيک پيک شريف | E-Peyk,تهران، تهران,18000000
دونگی | Dongi,تهران، تهران,16000000
اک تک | Actec,اصفهان، اصفهان,12000000
وبیفا | Webifa,تهران، تهران,20000000
انیگما  | Enigma,تهران، تهران,30000000
گره گالری | Gereh Gallery,تهران، تهران,8000000
پخش دارویی ممتاز | Pakhsh darooyi momtaz,تهران، تهران,10000000
مجموعه شرکت های تریتا  | Treata,البرز، کرج,10000000
یونایتد یونیتز | UnitedUnits,تهران، تهران,30000000
اک تک | Actec,اصفهان، اصفهان,12000000
اک تک | Actec,اصفهان، اصفهان,12000000
گلبان دانش سامانه کیش | Golban Danesh Samane,تهران، تهران,15000000
مشکات فارمد | MeshCutPharmed,تهران، تهران,10000000
نیکبخت خودرو | Nikbakht Khodro,تهران، تهران,10000000
کاربر محور ببر | Karbar Mehvar Babr,تهران، تهران,13000000
ندا رسانان پیشرو | NRP,تهران، تهران,35000000
امید آوران بامداد | Omidavaran Bamdad,تهران، تهران,10000000
لایو آموز | Live Amooz,اصفهان، اصفهان,20000000
مهیمن | Mohaymen,تهران، تهران,12000000
دانش بنیان پیام گستر فاوا | PayamGostar FAVA,البرز، کرج,20000000
مفید | Mofid,تهران، تهران,30000000
ارتباط بنیان | ErtebatBonyan,اصفهان، اصفهان,20000000
مهندسی خدمات صنعتی ایران خودرو | IseikCo,تهران، تهران,13000000
البرزمیکروسیستم | Alborz MicroSystem,قزوین، قزوین,15000000
مفید | Mofid,تهران، تهران,15000000
مفید | Mofid,تهران، تهران,20000000
مفید | Mofid,تهران، تهران,15000000
آوا سامانه ماندگار | Ava Samane Mandegar,البرز، کرج,15000000
بیت لند | BitLand,تهران، تهران,20000000
یکتا روش | Yekta Ravesh,آذربایجان شرقی، تبریز,8000000
هدف پردازش کارن (آواتار وب) | Avatar Web,تهران، تهران,15000000
راهکارهای فناوری غزال دامون | Rahkarhaye Fanavari Ghazal Damon,تهران، تهران,18000000
موآتیه 118 | Moatiyeh 118,تهران، تهران,9000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
آراد الگو تریدینگ | Arad AlgoTrading,تهران، تهران,30000000
نیک | Nik,تهران، تهران,7000000
فراز اطلاعات دنیای ویرا | Fadoo,یزد، یزد,15000000
استادریاضی | Ostadriazi,تهران، تهران,15000000
سلام ساختمان | Salam Sakhteman,خراسان رضوی، مشهد,14000000
هلدینگ 5040 |  5040 Holding Company,تهران، تهران,18000000
كوك ماشين | Kookmachine,تهران، تهران,8000000
ریموت اینتل | Remote Intel,تهران، تهران,15000000
تجارت تایر طلایی | Gbtire,تهران، تهران,10000000
فرابر آریا | Farabar Arya,خراسان رضوی، مشهد,15000000
رادین | RADIN,مازندران، قائم شهر,12000000
مجموعه آموزشی استاد تقدسی | Taghadosi Group,خراسان رضوی، مشهد,7000000
وب متریک | WebMetric,تهران، تهران,35000000
شورای سیاست گذاری حوزه | Shora,قم، قم,18000000
رایناگ | Raynaag,تهران، تهران,50000000
اندیشه نوین رایورز | Andisheh Novin Rayvarz,خراسان رضوی، مشهد,10000000
گروه والور | Valour,تهران، تهران,26000000
پیشگامان داده پرداز صدرا | Pishgaman Dadepardaze Sadra,اصفهان، اصفهان,20000000
زودکس | Zoodex,کرمان، کرمان,11000000
پیشرو ایده های آراز | Pishro Idehaye Araz,تهران، تهران,20000000
آریا | Ariya Company,خراسان رضوی، مشهد,8000000
جهان فولاد ایرانیان | Jahan Foolad Iranian,تهران، تهران,15000000
فناوری اطلاعات آرامین | Aramin Information Technology,تهران، تهران,20000000
سامانه راهکار دلفین اسپادانا | Samaneh Rahkare Dolphin Espadana,اصفهان، اصفهان,20000000
نیرا | Nira,تهران، تهران,15000000
